,SeqID,Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation,Council Districts,Councils,Communities,Zip Codes,Municipalities
,4be179ba-bb23-4274-80da-dc16b242dbaf,06/04/2019,11:30:00,MCP,"1st District, Rockville","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",SB SHADY GROVE RD AT BRIARDALE RD,39.13193,-77.1602183333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,HONDA,CIVIC,GRAY,Citation,21-901.1(b),Transportation Article,false,ASIAN,F,DERWOOD,MD,MD,A - Marked Patrol,"(39.13193, -77.1602183333333)",3,3,36,51,1
,6a23a980-7b7f-49c2-8d52-cb48724a0374,06/04/2019,11:30:00,MCP,"2nd District, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,UNIVERSITY BLVD/ LAWERANCE AVE,39.034895,-77.0707,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,CHEV,TAHOE,BLACK,Warning,21-801.1,Transportation Article,false,WHITE,F,SILVER SPRING,MD,MD,Q - Marked Laser,"(39.034895, -77.0707)",1,1,15,25,1
,4d7f2d87-a271-4a9f-a7f7-c9ab03e443c3,06/04/2019,11:24:00,MCP,"4th District, Wheaton",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 57 MPH IN A POSTED 35 MPH ZONE,URBANA DR / RT 97,39.06134,-77.05297,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,INFI,SUV,SILVER,Citation,21-801.1,Transportation Article,false,ASIAN,M,SILVER SPRING,MD,MD,O - Foot Patrol,"(39.06134, -77.05297)",4,4,23,6,1
,585a199b-7444-40ea-986f-71541fde1957,06/04/2019,11:22:00,MCP,"4th District, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,GEORGIA AVE/URBANA DR,39.061275,-77.05291,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,LEXUS,RX350,BLACK,Warning,21-801.1,Transportation Article,false,WHITE,M,SILVER SPRING,MD,MD,L - Motorcycle,"(39.061275, -77.05291)",4,4,23,6,1
,d43b8be6-5094-46e8-b5b5-80dd12ce1ace,06/04/2019,11:20:00,MCP,"2nd District, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,UNIVERSITY BLVD/ LAWERANCE AVE,39.0349166666667,-77.0706333333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,TOYOTA,RAV4,GRAY,Warning,21-801.1,Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,Q - Marked Laser,"(39.0349166666667, -77.0706333333333)",1,1,15,25,1
,6f58bc37-6eee-4d98-b1fc-7fd6da0c5971,06/04/2019,11:18:00,MCP,"1st District, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,WB SHADY GROVE METRO EXIT @ SHADY GROVE,39.1280383333333,-77.16093,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,TOYT,4DR,BLACK,Warning,21-801.1,Transportation Article,false,ASIAN,F,SILVER SPRING,MD,MD,Q - Marked Laser,"(39.1280383333333, -77.16093)",3,3,36,51,1
,bc78c393-10bb-409e-bf14-5c47397163ab,06/04/2019,11:15:00,MCP,"2nd District, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,"RIVER RD / BRAEBURN PKWY, E/B",38.97904,-77.1317566666667,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2013,HONDA,ACCORD,GRAY,Warning,21-801.1,Transportation Article,false,WHITE,M,FREDERICKSBURG,VA,VA,Q - Marked Laser,"(38.97904, -77.1317566666667)",1,1,12,103,1
,45a37e46-d3f9-48ec-bd0c-199109ed6e52,06/04/2019,11:14:00,MCP,"4th District, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,URBANA DR / RT 97,39.06134,-77.05297,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,TOYOTA,SUV,"BLUE, LIGHT",Warning,16-112(c),Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,O - Foot Patrol,"(39.06134, -77.05297)",4,4,23,6,1
,45a37e46-d3f9-48ec-bd0c-199109ed6e52,06/04/2019,11:14:00,MCP,"4th District, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,URBANA DR / RT 97,39.06134,-77.05297,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,TOYOTA,SUV,"BLUE, LIGHT",Warning,21-801.1,Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,O - Foot Patrol,"(39.06134, -77.05297)",4,4,23,6,1
,3404c577-8e85-4d0a-8456-12aad4f530f1,06/04/2019,11:10:00,MCP,"2nd District, Bethesda",OPERATING VEH. WITH TEMPORARY PARKING PLACARD HANGING FROM INSIDE REARVIEW MIRROR,UNIVERSITY BLVD/ LAWERANCE AVE,39.03453,-77.0716083333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,HYUNDAI,SONATA,SILVER,Warning,13-616.2(e2),Transportation Article,false,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,"(39.03453, -77.0716083333333)",1,1,15,25,1
,3404c577-8e85-4d0a-8456-12aad4f530f1,06/04/2019,11:10:00,MCP,"2nd District, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,UNIVERSITY BLVD/ LAWERANCE AVE,39.03453,-77.0716083333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,HYUNDAI,SONATA,SILVER,Warning,21-801.1,Transportation Article,false,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,"(39.03453, -77.0716083333333)",1,1,15,25,1
,f292d18d-a053-463c-8071-65620cee8bd9,06/04/2019,11:07:00,MCP,"2nd District, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,"RIVER RD / BRAEBURN PKWY, E/B",38.9790316666667,-77.13175,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,VOLK,PASSAT,BLACK,Warning,21-801.1,Transportation Article,false,WHITE,M,POTOMAC,MD,MD,Q - Marked Laser,"(38.9790316666667, -77.13175)",1,1,12,103,1
,fae887a9-1d35-43a0-8195-56456b9ff536,06/04/2019,11:06:00,MCP,"1st District, Rockville",NEGLIGENT DRIVING,12270 ROCKVILLE PIKE,39.057365,-77.1234733333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,HONDA,ODYSSEY,BLACK,Citation,21-901.1(b),Transportation Article,false,WHITE,F,CHEVY CHASE,MD,MD,A - Marked Patrol,"(39.057365, -77.1234733333333)",3,3,19,60,1
,d659f941-00bf-4b7a-af7c-8eaf9f8606ef,06/04/2019,11:00:00,MCP,"2nd District, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 53 MPH IN A POSTED 35 MPH ZONE,UNIVERSITY BLVD/ LAWERANCE AVE,39.03491,-77.0706033333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,HONDA,CRV,MAROON,Citation,21-801.1,Transportation Article,false,WHITE,M,SILVER SPRING,MD,MD,Q - Marked Laser,"(39.03491, -77.0706033333333)",1,1,15,25,1
,947f1564-007e-4884-913d-8205e0340fa0,06/04/2019,10:58:00,MCP,"4th District, Wheaton",DRIVER CHANGING LANES WHEN UNSAFE,GEORGIA AVE / DAYTON ST,39.0279066666667,-77.04688,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,DODGE,RAM,BLUE,Warning,21-309(b),Transportation Article,false,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0279066666667, -77.04688)",4,4,16,17,1
,27758479-ef99-46da-9d4d-a7993e496d09,06/04/2019,10:58:00,MCP,"4th District, Wheaton",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,RANDOLPH RD/SHOPPING CTR,39.0596783333333,-77.04779,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,MERCEDES,ML 350,SILVER,Warning,13-411(f),Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0596783333333, -77.04779)",4,4,23,6,1
,27758479-ef99-46da-9d4d-a7993e496d09,06/04/2019,10:58:00,MCP,"4th District, Wheaton",RT. TURN FROM IMPROPER ROAD POSITION,RANDOLPH RD/SHOPPING CTR,39.0596783333333,-77.04779,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,MERCEDES,ML 350,SILVER,Citation,21-601(a),Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0596783333333, -77.04779)",4,4,23,6,1
,521678bb-a1d2-43de-b0ea-7ee2ddd9c327,06/04/2019,10:51:00,MCP,"2nd District, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 57 MPH IN A POSTED 35 MPH ZONE,RIVER RD/WINSTON DR,38.97235,-77.1209916666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2019,SUBARU,LEGACY,BLUE,Citation,21-801.1,Transportation Article,false,WHITE,F,CHEVY CHASE,MD,MD,Q - Marked Laser,"(38.97235, -77.1209916666667)",1,1,12,107,1
,1a569dfb-0843-4dfc-a763-e66015fba9b6,06/04/2019,10:50:00,MCP,"6th District, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,FALLS ROAD AT 270 EXIT RAMP,39.076475,-77.161345,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016,NISSAN,NV2500,WHITE,Warning,21-202(h1),Transportation Article,false,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.076475, -77.161345)",3,3,25,71,12
,8b998ae3-a6e8-4f30-8af4-ce4334b6cb88,06/04/2019,10:44:00,MCP,"4th District, Wheaton","DRIVING WHILE LIC. SUSP. UNDER 16-203, 16-206A2 FAIL TO ATTEND DIP, 17-106, 26-204/206 OR  27-103",2300 RANDOLPH ROAD,39.06225,-77.04294,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,TOYOTA,CAMRY,WHITE,Citation,16-303(h),Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.06225, -77.04294)",4,4,23,6,1
,8b998ae3-a6e8-4f30-8af4-ce4334b6cb88,06/04/2019,10:44:00,MCP,"4th District, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,2300 RANDOLPH ROAD,39.06225,-77.04294,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,TOYOTA,CAMRY,WHITE,Citation,16-303(c),Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.06225, -77.04294)",4,4,23,6,1
,9c0061ff-ba39-4acb-ae62-b2d0c2268ea0,06/04/2019,10:44:00,MCP,"6th District, Gaithersburg / Montgomery Village",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,CLOPPER @ FIRSTFIELD,39.143715,-77.22366,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYT,4S,TAN,Citation,21-402(a),Transportation Article,true,HISPANIC,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.143715, -77.22366)",3,3,36,33,21
