Equipos,PJ,PG,PE,PP,GF,GC,Dif,Pts
Herediano,44,29,12,3,75,26,49
Deportivo Saprissa,44,26,9,9,93,48,45,87
Santos de Guápiles,44,21,16,7,76,44,32,79
L.D. Alajuelense,44,21,11,12,84,56,28,74
Pérez Zeledón,44,17,13,14,71,65,5,64
Limón F.C.,44,14,16,14,66,67,-1,58
Municipal Grecia,44,14,13,17,58,71,-13,55
Universidad de Costa Rica F.C.,44,10,15,19,43,60,-17,45
Guadalupe F.C.,44,10,15,19,50,68,-18,45
A.D. Carmelita,44,11,10,23,55,77,-22,43
C.S. Cartaginés,44,5,20,19,43,70,-27,35
Municipal Liberia,44,7,8,29,41,101,-60,29
